Kurz termín,Timestamp startdate,Timestamp enddate,Typ,Délka trvání,Lokalita,Locative,Zaměření,Počet lidí [odhad],Lektor 1,P,Lektor 2,P,Lektor 3,P,Náhradník,Náhradník 2,Poznámka,Sloupec 1
5.-6. září (9.00-17.00),,,,16h,Praha,,Reality - REMAX,,Václav Solař,TRUE,Luka Budík,TRUE,Lukyn Chocholovský,TRUE,NEPŘIDĚLENO,,,
12. září (9.00-14-00),,,,5h,Praha,,HoRe,,Václav Solař,TRUE,Lukyn Chocholovský,TRUE,NEPŘIDĚLENO,FALSE,NEPŘIDĚLENO,,,
26.-27. září (9.00-17.00),,,,16h,Brno,,Reality - REMAX,,Václav Solař,TRUE,Ondřej Hlaváč,TRUE,Luka Budík,TRUE,NEPŘIDĚLENO,,,
3. října (9.00-14.00),,,,5h,Praha,,HoRe,,Václav Solař,TRUE,Lukyn Chocholovský,TRUE,NEPŘIDĚLENO,FALSE,NEPŘIDĚLENO,,,
4.-5. října,,,,16h,Praha,,Reality,,Václav Solař,TRUE,NEPŘIDĚLENO,FALSE,NEPŘIDĚLENO,FALSE,NEPŘIDĚLENO,,,
11.-12. října ,,,,16h,Praha,,Marketing,14 lidí,Václav Solař,TRUE,Lukyn Chocholovský,TRUE,Ondřej Hlaváč,TRUE,Tomáš Jelínek,,,
15.-16. října,,,,16h,Praha,,Reality,,Václav Solař,TRUE,NEPŘIDĚLENO,FALSE,NEPŘIDĚLENO,FALSE,NEPŘIDĚLENO,,,
19.-20. října ,,,,16h,Brno,,Marketing,,Václav Solař,TRUE,Luka Budík,FALSE,David Luka,FALSE,NEPŘIDĚLENO,,,
24.-25. října,,,,16h,Praha,,Reality - REMAX,19 lidí,Václav Solař,TRUE,Lukyn Chocholovský,TRUE,Tomáš Jelínek,TRUE,Ondřej Hlaváč,,,
30-31. řijen,,,,16h,Brno,,Reality - REMAX,24 lidí,Václav Solař,TRUE,Luka Budík,TRUE,David Pham ,TRUE,Ondřej Hlaváč,,,
5. Listopadu,,,Jiné,5h,Praha,Praze,AHRCR,10-15,Václav Solař,TRUE,Tomáš Jelínek,FALSE,,TRUE,,,,
14-15. listopad,14.11.2024,15.11.2024,Dotace,16h,Brno,Brně,Reality - REMAX,13 lidí (16 mělo),Luka Budík,TRUE,David Pham,TRUE,Václav Solař,TRUE,,,,
15-16. listopad,15.11.2024,16.11.2024,Dotace,16h,Praha,Praze,Realitní - veřejný náš,18 lidí + 2,Václav Solař,TRUE,Lukyn Chocholovský,TRUE,Tomáš Jelínek,TRUE,David Pham,,,
19-20. listopad,19.11.2024,20.11.2024,Dotace,16h,Brno,Brně,Obchodníci,17 lidí,Václav Solař,TRUE,Lukyn Chocholovský,TRUE,Tomáš Jelínek,TRUE,Ondřej Hlaváč,,#ERROR!,
23.-24. listopadu,23.11.2024,24.11.2024,Dotace,16h,Karlovy Vary,Karlových Varech,Marketing,26 lidí,Václav Solař,TRUE,Ondřej Hlaváč,TRUE,Tomáš Jelínek,TRUE,Lukyn Chocholovský,,,
26.11 a 3.12.,,,Jiné,16h,Praha,Praze,obecný XTB,19 lidí,Václav Solař,TRUE,Tomáš Jelínek,TRUE,Ondřej Hlaváč,FALSE,Lukyn Chocholovský,,,
28.11-29.11,28.11.2024,29.11.2024,Dotace,16h,Praha,Praze,Realitní - remax centrála 2,14 + 4 lidí,Václav Solař,TRUE,Ondřej Hlaváč,TRUE,David Pham ,TRUE,,,,
4.12 - 5.12,4.12.2024,5.12.2024,Dotace,16h,Praha,Praze,Realitní - C21 centrála,16 lidí,Václav Solař,TRUE,Ondřej Hlaváč,TRUE,David Pham ,TRUE,,,,
6.-7.12 ,6.12.2024,7.12.2024,Dotace,16h,Praha,Praze,Marketing,22 lidí,Václav Solař,TRUE,Ondřej Hlaváč,TRUE,David Pham ,TRUE,Tomáš Jelínek,Lukyn Chocholovský ,,
12.12.-13.12.,12.12.2024,13.12.2024,Dotace,16h,Praha,Praze,Realitní - Mentoring Juraj,12 zatím,Václav Solař,TRUE,Ondřej Hlaváč,TRUE,David Pham ,TRUE,,,,
16.12. - 17.12. ,16.12.2024,17.12.2024,Dotace,16h,Praha,Praze,Obchodníci 2,(má být 15+),Václav Solař,TRUE,Lukyn Chocholovský,TRUE,David Pham ,TRUE,Tomáš Jelínek,"Lookin 16., Tom 17. ",,
8.1 - 9.1 ,8.1.2025,9.1.2025,Dotace,16h,Praha,Praze,Finanční poradci,,Václav Solař,FALSE,Lukyn Chocholovský,FALSE,David Pham ,FALSE,,,,
10.1 - 11.1,10.1.2025,11.1.2025,Dotace,16h,Praha,Praze,obchodníci,,Václav Solař,FALSE,Lukyn Chocholovský,FALSE,David Pham ,FALSE,,,,
14.1 - 15.1 ,14.1.2025,15.1.2025,Dotace,16h,Praha,Praze,Influenceři,,Václav Solař,FALSE,Tomáš Jelínek,FALSE,Lukyn Chocholovský,FALSE,,,"Uviidím jak mi budou vypsány zkoušky, TJ",
21.1 - 22.1,21.1.2025,22.1.2025,Dotace,16h,Praha,Praze,novináři,,Václav Solař,FALSE,Tomáš Jelínek,FALSE,Lukyn Chocholovský,FALSE,,,"Uviidím jak mi budou vypsány zkoušky, TJ",
24.1 - 25.1 ,24.1.2025,25.1.2025,Dotace,16h,Praha,Praze,obchodníci,,Václav Solař,FALSE,Tomáš Jelínek,FALSE,Lukyn Chocholovský,FALSE,,,"Uviidím jak mi budou vypsány zkoušky, TJ",
7.2 - 8.2 ,7.2.2025,8.2.2025,Dotace,16h,Praha,Praze,obchodníci,,Václav Solař,FALSE,Lukyn Chocholovský,FALSE,David Pham ,FALSE,,,"Uviidím jak mi budou vypsány zkoušky, TJ",
11.2 - 12.2,11.2.2025,12.2.2025,Dotace,16h,Praha,Praze,Veřejný,,Václav Solař,FALSE,Tomáš Jelínek,FALSE,Lukyn Chocholovský,FALSE,,,"Uviidím jak mi budou vypsány zkoušky, TJ",
21.2 - 22.2,21.2.2025,22.2.2025,Dotace,16h,Praha,Praze,obchodníci,,Václav Solař,FALSE,NEPŘIDĚLENO,FALSE,David Pham ,FALSE,,,"Uviidím jak mi budou vypsány zkoušky, TJ",
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
,,,,,,,,,,FALSE,,FALSE,,FALSE,,,,
